,resultId,grid,positionOrder,fastestLap,fastestLapTime,fastestLapSpeed,surname,status,year,name_x,name_y
0,1,1,1,39.0,01:27.5,218.3,Hamilton,Finished,2008,Australian Grand Prix,McLaren
1,5,3,5,43.0,01:27.4,218.385,Kovalainen,Finished,2008,Australian Grand Prix,McLaren
2,27,9,5,53.0,01:35.5,209.033,Hamilton,Finished,2008,Malaysian Grand Prix,McLaren
3,25,8,3,19.0,01:35.9,208.031,Kovalainen,Finished,2008,Malaysian Grand Prix,McLaren
4,69,5,3,20.0,01:22.0,204.323,Hamilton,Finished,2008,Spanish Grand Prix,McLaren
5,90,3,2,31.0,01:26.5,222.085,Hamilton,Finished,2008,Turkish Grand Prix,McLaren
6,109,3,1,71.0,01:18.5,153.152,Hamilton,Finished,2008,Monaco Grand Prix,McLaren
7,116,4,8,74.0,01:17.3,155.586,Kovalainen,Finished,2008,Monaco Grand Prix,McLaren
8,158,13,10,40.0,01:17.5,205.022,Hamilton,Finished,2008,French Grand Prix,McLaren
9,152,10,4,46.0,01:17.1,205.87,Kovalainen,Finished,2008,French Grand Prix,McLaren
10,169,4,1,16.0,01:32.8,199.398,Hamilton,Finished,2008,British Grand Prix,McLaren
11,189,1,1,17.0,01:16.0,216.552,Hamilton,Finished,2008,German Grand Prix,McLaren
12,193,3,5,63.0,01:16.5,215.261,Kovalainen,Finished,2008,German Grand Prix,McLaren
13,213,1,5,15.0,01:21.5,193.533,Hamilton,Finished,2008,Hungarian Grand Prix,McLaren
14,209,2,1,19.0,01:21.8,192.917,Kovalainen,Finished,2008,Hungarian Grand Prix,McLaren
15,230,2,2,16.0,01:38.9,197.285,Hamilton,Finished,2008,European Grand Prix,McLaren
16,232,5,4,19.0,01:39.1,196.831,Kovalainen,Finished,2008,European Grand Prix,McLaren
17,251,1,3,20.0,01:48.1,233.175,Hamilton,Finished,2008,Belgian Grand Prix,McLaren
18,275,15,7,52.0,01:29.7,232.44,Hamilton,Finished,2008,Italian Grand Prix,McLaren
19,270,2,2,53.0,01:30.3,230.95,Kovalainen,Finished,2008,Italian Grand Prix,McLaren
20,291,2,3,14.0,01:46.1,171.969,Hamilton,Finished,2008,Singapore Grand Prix,McLaren
21,298,5,10,14.0,01:47.3,169.943,Kovalainen,Finished,2008,Singapore Grand Prix,McLaren
22,320,1,12,65.0,01:19.6,206.47,Hamilton,Finished,2008,Japanese Grand Prix,McLaren
23,329,1,1,13.0,01:36.3,203.722,Hamilton,Finished,2008,Chinese Grand Prix,McLaren
24,353,4,5,31.0,01:14.2,209.177,Hamilton,Finished,2008,Brazilian Grand Prix,McLaren
25,355,5,7,36.0,01:14.2,209.042,Kovalainen,Finished,2008,Brazilian Grand Prix,McLaren
26,371,4,3,20.0,01:26.4,221.083,Hamilton,Finished,2007,Australian Grand Prix,McLaren
27,370,2,2,20.0,01:26.3,221.178,Alonso,Finished,2007,Australian Grand Prix,McLaren
28,392,4,2,22.0,01:36.7,206.355,Hamilton,Finished,2007,Malaysian Grand Prix,McLaren
29,391,2,1,42.0,01:36.9,206.014,Alonso,Finished,2007,Malaysian Grand Prix,McLaren
30,414,2,2,18.0,01:34.3,206.674,Hamilton,Finished,2007,Bahrain Grand Prix,McLaren
31,417,4,5,46.0,01:34.4,206.346,Alonso,Finished,2007,Bahrain Grand Prix,McLaren
32,436,4,2,20.0,01:22.9,202.205,Hamilton,Finished,2007,Spanish Grand Prix,McLaren
33,437,2,3,17.0,01:23.0,201.986,Alonso,Finished,2007,Spanish Grand Prix,McLaren
34,458,2,2,28.0,01:15.4,159.528,Hamilton,Finished,2007,Monaco Grand Prix,McLaren
35,457,1,1,44.0,01:15.3,159.715,Alonso,Finished,2007,Monaco Grand Prix,McLaren
36,479,1,1,37.0,01:16.5,205.239,Hamilton,Finished,2007,Canadian Grand Prix,McLaren
37,485,2,7,46.0,01:16.4,205.58,Alonso,Finished,2007,Canadian Grand Prix,McLaren
38,501,1,1,20.0,01:13.2,206.101,Hamilton,Finished,2007,United States Grand Prix,McLaren
39,502,2,2,21.0,01:13.3,206.003,Alonso,Finished,2007,United States Grand Prix,McLaren
